Group 1,ANDY HAAS,31.86
,BURAK TEMEL,29.88
,EDDIE GODFREY,30.42
,EVAN GOSSETT,31.86
,JEFF LANNEN,30.06
,JOE MASSARA,30.96
,PAUL LUNA,31.86
,PAUL TAYLOE,29.7
Group 2,ADAM HARRIS,29.7
,ALLAN ZERULL,29.34
,ANDY FOX,30.6
,BRYCE AUBART(2),28.6
,CHRIS JUSZCZYK,30.06
,CHRIS WENGLER,29.52
,CONNOR FRANTA,28.44
,SEAN GERVAIS,29.88
Group 3,BRANDON ROBINSON,28.44
,DERRICK TRUMBLY,29.34
,GEORGE VON K,29.52
,JASON ELLIOTT,28.44
,JASON LOSCHIAVO,26.82
,MATT KAVANAUGH,28.62
,ORLANDO AYALA,29.52
,JAMES HICKEY,29.52
Group 4,CHAD HART,28.98
,CRAIG SANDER,28.44
,DAN GILLARD,27.54
,GORDY BROWN,27.72
,JAMIE ARRINGTON,27.36
,MATT MILLER (mo),29.52
,MIKE ARRINGTON,29.34
,NATE STOWELL,29.52
Group 5,BEN VANIA,29.34
,BLAKE BOYETT,28.62
,GARY SHELDON,29.16
,LODELL PARKS,27.54
,MATT HOWARD,27.36
,SETH HARRIS,26.64
,STEVE PUFF,28.08
,TERRY HADDOCK,28.44
Group 6,DAVID KEY,27.38
,JASON MCKENNEY,27.72
,JON WHALEN,28.44
,MICHAEL PERES,27.72
,NATHAN WEBB,26.28
,ROBERT WASHBURN,27.72
,SOLOMON FRANCO,27.36
,TIM JUHAS,28.62
Group 7,AIDAN CLEARY,27.36
,DANNY SCURLOCK,24.84
,JAMES DUGGAN,27.18
,KYLE HEASLEY,26.46
,MATT WEINERT,28.8
,MATT VANHOOSIER,27.72
,PAUL SAME,27.72
,PETE SCHMIDT,27.18
Group 8,BOBBY KENNEDY,24.48
,BRAD MAQUET,27.18
,JEFF LEEPER,27.72
,KEITH BENNETT,26.64
,KEVIN LINDSAY,25.92
,MILLER MONTZ,27
,MORGAN PATCHELL,27.9
,TIM LIVINGSTON,27.54
