Group 1,ANDY HAAS,31.68
,BURAK TEMEL,29.16
,CLINT GROVER,29.52
,JEFF LANNEN,31.14
,PAUL LUNA,31.32
,PAUL TAYLOE,30.6
,SEAN GERVAIS,30.6
,,
Group 2,ALLAN ZERULL,30.6
,BRANDON ROBINSON,29.7
,BRYCE AUBART(2),29.7
,CHRIS JUSZCZYK,29.7
,CHRIS WENGLER,30.78
,GEORGE VON K,30.42
,MARK GOMEZ,29.7
,STEVE BEATTIE,30.6
Group 3,CHAD HART,28.8
,GORDY BROWN,28.85
,GRAIG KINZLER,28.98
,MATT MILLER (MO),28.98
,MIKE JAEGER,28.98
,MIKE ARRINGTON,29.16
,NATE STOWELL,28.98
,STEVE PUFF,28.8
Group 4,CHRIS ANTHONY,27.72
,ERIC HOUGEN,27.9
,JAMIE ARRINGTON,27.54
,JASON LOSCHIAVO,28.44
,JORDAN COOK,27.18
,LARRY FAIRRIS,29.7
,MATT VANHOOSIER,28.62
,NATHAN WEBB,28.8
Group 5,BEN VANIA,29.16
,HARRY LOMASON,28.62
,JON WHALEN,28.44
,KEVIN LINDSAY,26.82
,LODELL PARKS,29.16
,MIKE GREEN-WALSH,27.9
,PETE SCHMIDT,27.54
,RYAN WELLS,28.8
Group 6,BRADFORD EVANS,27.54
,DAMIEN SULLIVAN,27.72
,DANNY SCURLOCK,26.46
,JOEY DEANGELO,27.72
,MATT HOWARD,28.08
,MATT WEINERT,27.72
,RYAN ALBORN,28.08
,RYAN DRISKILL,28.26
Group 7,AARON GOOD,27
,DYLAN LUX,26.82
,KEITH BENNETT,26.82
,PAUL SAME,27.18
,RANDY CRITCHLOW,27.72
,SCOTT HUMMEL,27.9
,SCOTT LARSON,27.9
,STEVE ZASKE,27.54
Group 8,BEN RESSEL,27
,CHAD FISHER,26.46
,DAVE SANDMIRE,26.82
,DEREK SAWYER,25.92
,ERIC SCHROEDER,26.54
,JEREMY ADAMS,27.54
,JON ODONNELL,27.18
,ZACH HANKE,27.72
